state,total_population,year
Alabama,4448075,2004
Alaska,658002,2004
Arizona,5806266,2004
Arkansas,2694665,2004
California,35340566,2004
Colorado,4540639,2004
Connecticut,3365768,2004
Delaware,825598,2004
District of Columbia,508572,2004
Florida,17363653,2004
Georgia,8811648,2004
Hawaii,1258528,2004
Idaho,1408650,2004
Illinois,12441864,2004
Indiana,6081212,2004
Iowa,2848266,2004
Kansas,2669699,2004
Kentucky,4065635,2004
Louisiana,4387181,2004
Maine,1282474,2004
Maryland,5453441,2004
Massachusetts,6200944,2004
Michigan,9857477,2004
Minnesota,4969152,2004
Mississippi,2830388,2004
Missouri,5632603,2004
Montana,897367,2004
Nebraska,1706343,2004
Nevada,2376017,2004
New Hampshire,1271897,2004
New Jersey,8524868,2004
New Mexico,1886789,2004
New York,18679211,2004
North Carolina,8397785,2004
North Dakota,621063,2004
Ohio,11146050,2004
Oklahoma,3429974,2004
Oregon,3560922,2004
Pennsylvania,11948862,2004
Rhode Island,1033284,2004
South Carolina,4127391,2004
South Dakota,755152,2004
Tennessee,5816359,2004
Texas,22250152,2004
Utah,2452149,2004
Vermont,609857,2004
Virginia,7320848,2004
Washington,6157786,2004
West Virginia,1781817,2004
Wisconsin,5401740,2004
Wyoming,494170,2004
Alabama,4414559,2005
Alaska,635963,2005
Arizona,5638345,2005
Arkansas,2668372,2005
California,35057375,2005
Colorado,4498611,2005
Connecticut,3389483,2005
Delaware,805421,2005
District of Columbia,518074,2005
Florida,16957665,2005
Georgia,8580307,2005
Hawaii,1227008,2005
Idaho,1360152,2005
Illinois,12368348,2005
Indiana,6058172,2005
Iowa,2849976,2005
Kansas,2653454,2005
Kentucky,4031134,2005
Louisiana,4383224,2005
Maine,1278725,2005
Maryland,5424648,2005
Massachusetts,6193986,2005
Michigan,9858908,2005
Minnesota,4958748,2005
Mississippi,2807064,2005
Missouri,5587906,2005
Montana,903109,2005
Nebraska,1708711,2005
Nevada,2301197,2005
New Hampshire,1261970,2005
New Jersey,8503294,2005
New Mexico,1855776,2005
New York,18661943,2005
North Carolina,8270028,2005
North Dakota,609691,2005
Ohio,11172251,2005
Oklahoma,3412202,2005
Oregon,3506284,2005
Pennsylvania,11971696,2005
Rhode Island,1037002,2005
South Carolina,4059838,2005
South Dakota,741480,2005
Tennessee,5743167,2005
Texas,21890579,2005
Utah,2349472,2005
Vermont,600632,2005
Virginia,7219758,2005
Washington,6071325,2005
West Virginia,1771784,2005
Wisconsin,5353642,2005
Wyoming,492534,2005
Alabama,4599030,2006
Alaska,670053,2006
Arizona,6166318,2006
Arkansas,2810872,2006
California,36457549,2006
Colorado,4753377,2006
Connecticut,3504809,2006
Delaware,853476,2006
District of Columbia,581530,2006
Florida,18089889,2006
Georgia,9363941,2006
Hawaii,1285498,2006
Idaho,1466465,2006
Illinois,12831970,2006
Indiana,6313520,2006
Iowa,2982085,2006
Kansas,2764075,2006
Kentucky,4206074,2006
Louisiana,4287768,2006
Maine,1321574,2006
Maryland,5615727,2006
Massachusetts,6437193,2006
Michigan,10095643,2006
Minnesota,5167101,2006
Mississippi,2910540,2006
Missouri,5842713,2006
Montana,944632,2006
Nebraska,1768331,2006
Nevada,2495529,2006
New Hampshire,1314895,2006
New Jersey,8724560,2006
New Mexico,1954599,2006
New York,19306183,2006
North Carolina,8856505,2006
North Dakota,635867,2006
Ohio,11478006,2006
Oklahoma,3579212,2006
Oregon,3700758,2006
Pennsylvania,12440621,2006
Rhode Island,1067610,2006
South Carolina,4321249,2006
South Dakota,781919,2006
Tennessee,6038803,2006
Texas,23507783,2006
Utah,2550063,2006
Vermont,623908,2006
Virginia,7642884,2006
Washington,6395798,2006
West Virginia,1818470,2006
Wisconsin,5556506,2006
Wyoming,515004,2006
Alabama,4627851,2007
Alaska,683478,2007
Arizona,6338755,2007
Arkansas,2834797,2007
California,36553215,2007
Colorado,4861515,2007
Connecticut,3502309,2007
Delaware,864764,2007
District of Columbia,588292,2007
Florida,18251243,2007
Georgia,9544750,2007
Hawaii,1283388,2007
Idaho,1499402,2007
Illinois,12852548,2007
Indiana,6345289,2007
Iowa,2988047,2007
Kansas,2775997,2007
Kentucky,4241474,2007
Louisiana,4293204,2007
Maine,1317207,2007
Maryland,5618344,2007
Massachusetts,6449755,2007
Michigan,10071822,2007
Minnesota,5197621,2007
Mississippi,2918785,2007
Missouri,5878415,2007
Montana,957861,2007
Nebraska,1774571,2007
Nevada,2565382,2007
New Hampshire,1315828,2007
New Jersey,8685920,2007
New Mexico,1969915,2007
New York,19297729,2007
North Carolina,9061032,2007
North Dakota,639715,2007
Ohio,11466917,2007
Oklahoma,3617316,2007
Oregon,3747455,2007
Pennsylvania,12432792,2007
Rhode Island,1057832,2007
South Carolina,4407709,2007
South Dakota,796215,2007
Tennessee,6156719,2007
Texas,23904380,2007
Utah,2645330,2007
Vermont,621254,2007
Virginia,7712091,2007
Washington,6468424,2007
West Virginia,1812035,2007
Wisconsin,5601640,2007
Wyoming,522830,2007
Alabama,4661900,2008
Alaska,686293,2008
Arizona,6500180,2008
Arkansas,2855390,2008
California,36756666,2008
Colorado,4939456,2008
Connecticut,3501252,2008
Delaware,873092,2008
District of Columbia,591833,2008
Florida,18328340,2008
Georgia,9685744,2008
Hawaii,1288198,2008
Idaho,1523816,2008
Illinois,12901564,2008
Indiana,6376792,2008
Iowa,3002557,2008
Kansas,2802134,2008
Kentucky,4269245,2008
Louisiana,4410796,2008
Maine,1316456,2008
Maryland,5633597,2008
Massachusetts,6497967,2008
Michigan,10003422,2008
Minnesota,5220393,2008
Mississippi,2938618,2008
Missouri,5911605,2008
Montana,967440,2008
Nebraska,1783432,2008
Nevada,2600167,2008
New Hampshire,1315809,2008
New Jersey,8682661,2008
New Mexico,1984356,2008
New York,19490297,2008
North Carolina,9222414,2008
North Dakota,641481,2008
Ohio,11485910,2008
Oklahoma,3642361,2008
Oregon,3790060,2008
Pennsylvania,12448279,2008
Rhode Island,1050788,2008
South Carolina,4479800,2008
South Dakota,804194,2008
Tennessee,6214888,2008
Texas,24326974,2008
Utah,2736424,2008
Vermont,621270,2008
Virginia,7769089,2008
Washington,6549224,2008
West Virginia,1814468,2008
Wisconsin,5627968,2008
Wyoming,532668,2008
Alabama,4708708,2009
Alaska,698473,2009
Arizona,6595778,2009
Arkansas,2889450,2009
California,36961664,2009
Colorado,5024748,2009
Connecticut,3518288,2009
Delaware,885122,2009
District of Columbia,599657,2009
Florida,18537969,2009
Georgia,9829211,2009
Hawaii,1295178,2009
Idaho,1545801,2009
Illinois,12910409,2009
Indiana,6423113,2009
Iowa,3007857,2009
Kansas,2818747,2009
Kentucky,4314113,2009
Louisiana,4492076,2009
Maine,1318301,2009
Maryland,5699478,2009
Massachusetts,6593587,2009
Michigan,9969727,2009
Minnesota,5266215,2009
Mississippi,2951996,2009
Missouri,5987580,2009
Montana,974989,2009
Nebraska,1796622,2009
