Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4874747"
"Alaska","739795"
"Arizona","7016270"
"Arkansas","3004279"
"California","39536653"
"Colorado","5607154"
"Connecticut","3588184"
"Delaware","961939"
"District of Columbia","693972"
"Florida","20984400"
"Georgia","10429379"
"Hawaii","1427538"
"Idaho","1716943"
"Illinois","12802023"
"Indiana","6666818"
"Iowa","3145711"
"Kansas","2913123"
"Kentucky","4454189"
"Louisiana","4684333"
"Maine","1335907"
"Maryland","6052177"
"Massachusetts","6859819"
"Michigan","9962311"
"Minnesota","5576606"
"Mississippi","2984100"
"Missouri","6113532"
"Montana","1050493"
"Nebraska","1920076"
"Nevada","2998039"
"New Hampshire","1342795"
"New Jersey","9005644"
"New Mexico","2088070"
"New York","19849399"
"North Carolina","10273419"
"North Dakota","755393"
"Ohio","11658609"
"Oklahoma","3930864"
"Oregon","4142776"
"Pennsylvania","12805537"
"Rhode Island","1059639"
"South Carolina","5024369"
"South Dakota","869666"
"Tennessee","6715984"
"Texas","28304596"
"Utah","3101833"
"Vermont","623657"
"Virginia","8470020"
"Washington","7405743"
"West Virginia","1815857"
"Wisconsin","5795483"
"Wyoming","579315"
